706,"Cadena Comercial OXXO, S.A. de C.V.",Centro Terán MTA,Zaragoza, S/N,Nuevo León
707,"Cadena Comercial OXXO, S.A. de C.V.",Obregón MTA,Alvaro Obregon, S/N,Nuevo León
708,"Cadena Comercial OXXO, S.A. de C.V.",Kasino MTA,Av. Capitan Alonso De Leon,302,Nuevo León
709,"Cadena Comercial OXXO, S.A. de C.V.",Plaza Linares MTA,Av. Juarez,304,Nuevo León
710,"Cadena Comercial OXXO, S.A. de C.V.",Las Misiones MTA,Carretera Nacional Km. 101,101,Nuevo León
711,"Cadena Comercial OXXO, S.A. de C.V.",Santa María MTA,Carretera Monterrey - Reynosa  Km 3, S/N,Nuevo León
712,"Cadena Comercial OXXO, S.A. de C.V.",Cercado II MTA,Carretera Nacional, S/N,Nuevo León
713,"Cadena Comercial OXXO, S.A. de C.V.",JUDEL MTA,Juarez,915,Nuevo León
714,"Cadena Comercial OXXO, S.A. de C.V.",Montemorelos II MTA,Carlos Cantu,710,Nuevo León
715,"Cadena Comercial OXXO, S.A. de C.V.",Refinería MTA,Matamoros,703,Nuevo León
716,"Cadena Comercial OXXO, S.A. de C.V.",Ávila Camacho MTA,Juarez,800,Nuevo León
717,"Cadena Comercial OXXO, S.A. de C.V.",Mexiquito MTA,Ev. Empacadoras, S/N,Nuevo León
718,"Cadena Comercial OXXO, S.A. de C.V.",Mina MTA,5 De Mayo, S/N,Nuevo León
719,"Cadena Comercial OXXO, S.A. de C.V.",Pescadores MTA,Heroes Del 47, S/N,Nuevo León
720,"Cadena Comercial OXXO, S.A. de C.V.",Car. Nacional MTA,Carretera Nacional, 100-1,Nuevo León
721,"Cadena Comercial OXXO, S.A. de C.V.",Cadereyta MTA,Lazaro Cardenas,2121,Nuevo León
722,"Cadena Comercial OXXO, S.A. de C.V.",Lerdo de Tejada MTA,Lerdo De Tejada, 250 Ote,Nuevo León
723,"Cadena Comercial OXXO, S.A. de C.V.",Don Tino MTA,Carretera Nacional Km 253, S/N,Nuevo León
724,"Cadena Comercial OXXO, S.A. de C.V.",Presa de La Boca MTA,Carretera Nacional,400,Nuevo León
725,"Cadena Comercial OXXO, S.A. de C.V.",Pronto(ElBarreal)MTA,Carretra Nacional Km 255, 204-A,Nuevo León
726,"Cadena Comercial OXXO, S.A. de C.V.",Plaza MTA,Degollado, 312 Sur,Nuevo León
